,tweet,class,processed_tweet
0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2,rt as a woman you should not complain about clean up your house amp as a man you should always take the trash out
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,rt boy dat cold tyga dwn bad for cuffin dat hoe in the 1st place
2,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,rt dawg rt you ever fuck a bitch and she start to cry you be confuse as shit
3,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,rt she look like a tranny
4,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,rt the shit you hear about i might be true or it might be faker than the bitch who tell it to ya 57361
5,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,the shit just blow i claim you so faithful and down for somebody but still fuck with hoe
6,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,i can not just sit up and hate on another bitch i get too much shit go on
7,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,cause i be tired of you big bitch come for we skinny
8,""" &amp; you might not get ya bitch back &amp; thats that """,1,amp you might not get ya bitch back amp that s that
9,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,hobby include fight mariam bitch
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,keeks be a bitch she curve everyone lol i walk into a conversation like this smh
11,""" Murda Gang bitch its Gang Land """,1,murda gang bitch its gang land
12,""" So hoes that smoke are losers ? "" yea ... go on IG",1,so hoe that smoke be loser yea go on ig
13,""" bad bitches is the only thing that i like """,1,bad bitch be the only thing that i like
14,""" bitch get up off me """,1,bitch get up off i
15,""" bitch nigga miss me with it """,1,bitch nigga miss i with it
16,""" bitch plz whatever """,1,bitch plz whatever
17,""" bitch who do you love """,1,bitch who do you love
18,""" bitches get cut off everyday B """,1,bitch get cut off everyday b
19,""" black bottle &amp; a bad bitch """,1,black bottle amp a bad bitch
20,""" broke bitch cant tell me nothing """,1,break bitch can not tell i nothing
